time,Confirmed
12-Mar-2020,382
13-Mar-2020,516
14-Mar-2020,548
15-Mar-2020,952
16-Mar-2020,965
17-Mar-2020,1454
18-Mar-2020,2660
19-Mar-2020,5425
20-Mar-2020,5530
21-Mar-2020,7165
22-Mar-2020,8360
23-Mar-2020,9831
24-Mar-2020,10603
25-Mar-2020,13986
26-Mar-2020,16910
27-Mar-2020,18793
28-Mar-2020,20052
29-Mar-2020,18029
30-Mar-2020,21782
31-Mar-2020,25758
01-Apr-2020,26558
02-Apr-2020,29738
03-Apr-2020,32591
04-Apr-2020,34126
05-Apr-2020,25790
06-Apr-2020,31175
07-Apr-2020,31673
08-Apr-2020,33003
09-Apr-2020,34393
10-Apr-2020,34239
11-Apr-2020,30108
12-Apr-2020,27518
13-Apr-2020,26415
14-Apr-2020,26548
15-Apr-2020,27977.378563659
16-Apr-2020,26969.2023524189
17-Apr-2020,25892.7935930818
18-Apr-2020,24763.9583112781
19-Apr-2020,23597.7328557486
20-Apr-2020,22408.1489393332
21-Apr-2020,21208.0662539375
22-Apr-2020,20009.0646930175
23-Apr-2020,18821.388025869
24-Apr-2020,17653.9309138191
25-Apr-2020,16514.2614297736
26-Apr-2020,15408.6717062241
27-Apr-2020,14342.2499482938
28-Apr-2020,13318.96776016
29-Apr-2020,12341.7775001528
30-Apr-2020,11412.7151624535
01-May-2020,10533.0050491866
02-May-2020,9703.16322097951
03-May-2020,8923.09737914498
04-May-2020,8192.20142750954
05-May-2020,7509.44348096452
06-May-2020,6873.44652998215
07-May-2020,6282.56133790873
08-May-2020,5734.93144549523
09-May-2020,5228.55039121083
10-May-2020,4761.31143355614
11-May-2020,4331.05019044911
12-May-2020,3935.58069824043
13-May-2020,3572.72544621257
14-May-2020,3240.33996801032
15-May-2020,2936.33257530048
16-May-2020,2658.67980617448
17-May-2020,2405.43813579937
18-May-2020,2174.75246333203
19-May-2020,1964.86185012071
20-May-2020,1774.1029422381
21-May-2020,1600.91146728105
22-May-2020,1443.82215264812
23-May-2020,1301.46737120126
24-May-2020,1172.57478115498
25-May-2020,1055.96419063408
26-May-2020,950.543843995547
27-May-2020,855.306296755094
28-May-2020,769.324018879328
29-May-2020,691.744842185522
30-May-2020,621.787346474361
31-May-2020,558.736260669422
01-Jun-2020,501.937939366908
02-Jun-2020,450.795961651951
03-Jun-2020,404.766887526377
04-Jun-2020,363.356197632616
05-Jun-2020,326.11443391582
06-Jun-2020,292.633552231826
07-Jun-2020,262.54349251138
08-Jun-2020,235.508967766538
09-Jun-2020,211.226469769143
10-Jun-2020,189.421486589825
11-Jun-2020,169.845925150206
12-Jun-2020,152.275730472058
13-Jun-2020,136.508692270378
14-Jun-2020,122.362428864231
15-Jun-2020,109.672538018785
16-Jun-2020,98.2909041864332
17-Jun-2020,88.0841516701039
18-Jun-2020,78.9322334353346
19-Jun-2020,70.7271455945447
20-Jun-2020,63.3717579853255
21-Jun-2020,56.7787517018151
22-Jun-2020,50.8696549183223
23-Jun-2020,45.5739688621834
24-Jun-2020,40.8283762817737
25-Jun-2020,36.5760252890177
26-Jun-2020,32.7658819407225
27-Jun-2020,29.3521454266738
28-Jun-2020,26.2937201815657
29-Jun-2020,23.5537397132721
30-Jun-2020,21.0991373341531
01-Jul-2020,18.9002594018821
02-Jul-2020,16.9305170506705
03-Jul-2020,15.166072724387
04-Jul-2020,13.585558171384
05-Jul-2020,12.1698208455928
06-Jul-2020,10.9016959406435
07-Jul-2020,9.76580154150724
08-Jul-2020,8.74835460633039
09-Jul-2020,7.83700571674854
10-Jul-2020,7.02069071424194
11-Jul-2020,6.28949754405767
12-Jul-2020,5.6345467667561
13-Jul-2020,5.04788435716182
